id,quote_id,security_id,strike,type,bid,ask,bid_size,ask_size,bank_sent_time,client_received_time,option_implied_volatility,option_delta,option_vega,option_theta,option_gamma,option_theoretical_price,underlying_security_id,underlying_type,underlying_bid,underlying_ask,underlying_bid_size,underlying_ask_size,underlying_bank_sent_time,underlying_client_received_time
7349,08d83f50-1fa4-11ec-8cd3-4506f6b3b7b5,SAVA.CBOE.19X2021.P22_5,22.500000,PUT,0.600000,1.350000,42.000000,14.000000,1632754990923,1632754991930,-1,-1,-1,-1,-1,-1,SAVA.NASDAQ,STOCK,66.910000,66.950000,100.000000,100.000000,1632754990931,1632754991937
7339,14c6e7d7-1fa4-11ec-8cd3-4506f6b3b7b5,SAVA.CBOE.19X2021.P95,95.000000,PUT,34.100000,38.100000,4.000000,4.000000,1632755003553,1632755004559,-1,-1,-1,-1,-1,-1,SAVA.NASDAQ,STOCK,66.820000,67.000000,200.000000,2100.000000,1632755011001,1632755012008
7345,1abc53c0-1fa4-11ec-8cd3-4506f6b3b7b5,SAVA.CBOE.19X2021.P30,30.000000,PUT,1.550000,1.900000,8.000000,42.000000,1632755018048,1632755019055,-1,-1,-1,-1,-1,-1,SAVA.NASDAQ,STOCK,66.820000,66.990000,200.000000,100.000000,1632755020595,1632755021600
7327,1abc53c2-1fa4-11ec-8cd3-4506f6b3b7b5,SAVA.CBOE.19X2021.C145,145.000000,CALL,2.200000,3.100000,44.000000,15.000000,1632755018914,1632755019920,-1,-1,-1,-1,-1,-1,SAVA.NASDAQ,STOCK,66.820000,66.990000,200.000000,100.000000,1632755020595,1632755021600
7329,f1009451-1fa3-11ec-8cd3-4506f6b3b7b5,SAVA.CBOE.19X2021.C185,185.000000,CALL,0.850000,1.750000,114.000000,41.000000,1632754944416,1632754945495,-1,-1,-1,-1,-1,-1,SAVA.NASDAQ,STOCK,66.940000,67.080000,100.000000,200.000000,1632754950911,1632754951917
7356,f6f738fd-1fa3-11ec-8cd3-4506f6b3b7b5,SAVA.CBOE.19X2021.P150,150.000000,PUT,85.500000,88.400000,36.000000,14.000000,1632754954915,1632754956002,-1,-1,-1,-1,-1,-1,SAVA.NASDAQ,STOCK,66.980000,67.070000,100.000000,100.000000,1632754960902,1632754961908
7347,02e40bdc-1fa4-11ec-8cd3-4506f6b3b7b5,SAVA.CBOE.19X2021.P17_5,17.500000,PUT,0.300000,0.500000,42.000000,15.000000,1632754980414,1632754981421,-1,-1,-1,-1,-1,-1,SAVA.NASDAQ,STOCK,66.950000,67.020000,100.000000,200.000000,1632754980701,1632754981716
7358,f6f73909-1fa3-11ec-8cd3-4506f6b3b7b5,SAVA.CBOE.19X2021.P145,145.000000,PUT,80.700000,83.500000,32.000000,17.000000,1632754956414,1632754957420,-1,-1,-1,-1,-1,-1,SAVA.NASDAQ,STOCK,66.980000,67.070000,100.000000,100.000000,1632754960902,1632754961908
7344,1abc53c1-1fa4-11ec-8cd3-4506f6b3b7b5,SAVA.CBOE.19X2021.C105,105.000000,CALL,5.200000,6.000000,39.000000,13.000000,1632755020414,1632755021420,-1,-1,-1,-1,-1,-1,SAVA.NASDAQ,STOCK,66.820000,66.990000,200.000000,100.000000,1632755020595,1632755021600
7343,14c6e7cb-1fa4-11ec-8cd3-4506f6b3b7b5,SAVA.CBOE.19X2021.P160,160.000000,PUT,94.300000,97.600000,71.000000,54.000000,1632755009414,1632755010420,-1,-1,-1,-1,-1,-1,SAVA.NASDAQ,STOCK,66.820000,67.000000,200.000000,2100.000000,1632755011001,1632755012008
7330,14c6e7cf-1fa4-11ec-8cd3-4506f6b3b7b5,SAVA.CBOE.19X2021.C180,180.000000,CALL,0.850000,1.900000,131.000000,26.000000,1632755003553,1632755004559,-1,-1,-1,-1,-1,-1,SAVA.NASDAQ,STOCK,66.820000,67.000000,200.000000,2100.000000,1632755011001,1632755012008
7341,1abc53d1-1fa4-11ec-8cd3-4506f6b3b7b5,SAVA.CBOE.19X2021.P185,185.000000,PUT,118.500000,121.800000,4.000000,4.000000,1632755013914,1632755014920,-1,-1,-1,-1,-1,-1,SAVA.NASDAQ,STOCK,66.820000,66.990000,200.000000,100.000000,1632755020595,1632755021600
7338,1abc53d2-1fa4-11ec-8cd3-4506f6b3b7b5,SAVA.CBOE.19X2021.P50,50.000000,PUT,6.300000,6.700000,18.000000,7.000000,1632755018914,1632755019920,-1,-1,-1,-1,-1,-1,SAVA.NASDAQ,STOCK,66.820000,66.990000,200.000000,100.000000,1632755020595,1632755021600
7331,08d83f4d-1fa4-11ec-8cd3-4506f6b3b7b5,SAVA.CBOE.19X2021.P110,110.000000,PUT,47.600000,51.100000,50.000000,21.000000,1632754990414,1632754991420,-1,-1,-1,-1,-1,-1,SAVA.NASDAQ,STOCK,66.910000,66.950000,100.000000,100.000000,1632754990931,1632754991937
7352,1abc53bf-1fa4-11ec-8cd3-4506f6b3b7b5,SAVA.CBOE.19X2021.P200,200.000000,PUT,133.300000,136.600000,38.000000,10.000000,1632755020414,1632755021420,-1,-1,-1,-1,-1,-1,SAVA.NASDAQ,STOCK,66.820000,66.990000,200.000000,100.000000,1632755020595,1632755021600
7346,14c6e7cc-1fa4-11ec-8cd3-4506f6b3b7b5,SAVA.CBOE.19X2021.P70,70.000000,PUT,16.600000,17.700000,47.000000,11.000000,1632755007914,1632755008925,-1,-1,-1,-1,-1,-1,SAVA.NASDAQ,STOCK,66.820000,67.000000,200.000000,2100.000000,1632755011001,1632755012008
7336,1abc53d0-1fa4-11ec-8cd3-4506f6b3b7b5,SAVA.CBOE.19X2021.P55,55.000000,PUT,8.100000,9.200000,49.000000,20.000000,1632755018058,1632755019124,-1,-1,-1,-1,-1,-1,SAVA.NASDAQ,STOCK,66.820000,66.990000,200.000000,100.000000,1632755020595,1632755021600
7340,08d83f53-1fa4-11ec-8cd3-4506f6b3b7b5,SAVA.CBOE.19X2021.P140,140.000000,PUT,75.900000,78.700000,35.000000,14.000000,1632754985914,1632754986920,-1,-1,-1,-1,-1,-1,SAVA.NASDAQ,STOCK,66.910000,66.950000,100.000000,100.000000,1632754990931,1632754991937
7350,1abc53ce-1fa4-11ec-8cd3-4506f6b3b7b5,SAVA.CBOE.19X2021.C30,30.000000,CALL,36.100000,39.200000,37.000000,10.000000,1632755017053,1632755018059,-1,-1,-1,-1,-1,-1,SAVA.NASDAQ,STOCK,66.820000,66.990000,200.000000,100.000000,1632755020595,1632755021600
7337,1abc53d3-1fa4-11ec-8cd3-4506f6b3b7b5,SAVA.CBOE.19X2021.C125,125.000000,CALL,3.300000,4.100000,43.000000,28.000000,1632755018058,1632755019064,-1,-1,-1,-1,-1,-1,SAVA.NASDAQ,STOCK,66.820000,66.990000,200.000000,100.000000,1632755020595,1632755021600
7333,14c6e7d3-1fa4-11ec-8cd3-4506f6b3b7b5,SAVA.CBOE.19X2021.C115,115.000000,CALL,4.100000,4.900000,50.000000,14.000000,1632755010913,1632755011920,-1,-1,-1,-1,-1,-1,SAVA.NASDAQ,STOCK,66.820000,67.000000,200.000000,2100.000000,1632755011001,1632755012008
7328,0ed06a63-1fa4-11ec-8cd3-4506f6b3b7b5,SAVA.CBOE.19X2021.C100,100.000000,CALL,5.800000,6.500000,41.000000,1.000000,1632755001414,1632755002421,-1,-1,-1,-1,-1,-1,SAVA.NASDAQ,STOCK,66.810000,66.980000,300.000000,200.000000,1632755000577,1632755001587
7355,1abc53cd-1fa4-11ec-8cd3-4506f6b3b7b5,SAVA.CBOE.19X2021.C75,75.000000,CALL,10.300000,11.700000,48.000000,8.000000,1632755018914,1632755019920,-1,-1,-1,-1,-1,-1,SAVA.NASDAQ,STOCK,66.820000,66.990000,200.000000,100.000000,1632755020595,1632755021600
7348,1abc53c9-1fa4-11ec-8cd3-4506f6b3b7b5,SAVA.CBOE.19X2021.P195,195.000000,PUT,128.300000,131.700000,51.000000,12.000000,1632755020414,1632755021420,-1,-1,-1,-1,-1,-1,SAVA.NASDAQ,STOCK,66.820000,66.990000,200.000000,100.000000,1632755020595,1632755021600
