id,quote_id,security_id,strike,type,bid,ask,bid_size,ask_size,bank_sent_time,client_received_time,option_implied_volatility,option_delta,option_vega,option_theta,option_gamma,option_theoretical_price,underlying_security_id,underlying_type,underlying_bid,underlying_ask,underlying_bid_size,underlying_ask_size,underlying_bank_sent_time,underlying_client_received_time
7514,9aacf0d0-1fa6-11ec-973b-31501437f5a6,SAVA.CBOE.18G2022.P170,170.000000,PUT,107.800000,111.700000,20.000000,77.000000,1632756089983,1632756091056,-1,-1,-1,-1,-1,-1,SAVA.NASDAQ,STOCK,68.110000,68.240000,700.000000,500.000000,1632756094489,1632756095513
7517,94bb2e59-1fa6-11ec-973b-31501437f5a6,SAVA.CBOE.18G2022.C90,90.000000,CALL,14.200000,16.800000,72.000000,66.000000,1632756082482,1632756083493,-1,-1,-1,-1,-1,-1,SAVA.NASDAQ,STOCK,68.110000,68.210000,800.000000,300.000000,1632756084580,1632756085591
7501,9aacf0ca-1fa6-11ec-973b-31501437f5a6,SAVA.CBOE.18G2022.P175,175.000000,PUT,112.800000,116.300000,20.000000,76.000000,1632756089982,1632756090993,-1,-1,-1,-1,-1,-1,SAVA.NASDAQ,STOCK,68.110000,68.240000,700.000000,500.000000,1632756094489,1632756095513
7510,8ec945c3-1fa6-11ec-973b-31501437f5a6,SAVA.CBOE.18G2022.P75,75.000000,PUT,26.600000,30.300000,73.000000,175.000000,1632756068482,1632756069493,-1,-1,-1,-1,-1,-1,SAVA.NASDAQ,STOCK,68.100000,68.220000,300.000000,600.000000,1632756074579,1632756075591
7499,8ec945c8-1fa6-11ec-973b-31501437f5a6,SAVA.CBOE.18G2022.P140,140.000000,PUT,80.900000,84.100000,11.000000,69.000000,1632756068981,1632756069993,-1,-1,-1,-1,-1,-1,SAVA.NASDAQ,STOCK,68.100000,68.220000,300.000000,600.000000,1632756074579,1632756075591
7525,9aacf0da-1fa6-11ec-973b-31501437f5a6,SAVA.CBOE.18G2022.P80,80.000000,PUT,30.100000,34.100000,70.000000,313.000000,1632756087597,1632756088608,-1,-1,-1,-1,-1,-1,SAVA.NASDAQ,STOCK,68.110000,68.240000,700.000000,500.000000,1632756094489,1632756095513
7504,94bb2e5a-1fa6-11ec-973b-31501437f5a6,SAVA.CBOE.18G2022.P35,35.000000,PUT,5.500000,7.200000,10.000000,55.000000,1632756080488,1632756081499,-1,-1,-1,-1,-1,-1,SAVA.NASDAQ,STOCK,68.110000,68.210000,800.000000,300.000000,1632756084580,1632756085591
7511,9aacf0cf-1fa6-11ec-973b-31501437f5a6,SAVA.CBOE.18G2022.C160,160.000000,CALL,5.800000,6.900000,92.000000,14.000000,1632756089983,1632756091056,-1,-1,-1,-1,-1,-1,SAVA.NASDAQ,STOCK,68.110000,68.240000,700.000000,500.000000,1632756094489,1632756095513
7519,9aacf0cb-1fa6-11ec-973b-31501437f5a6,SAVA.CBOE.18G2022.P130,130.000000,PUT,71.600000,75.100000,36.000000,87.000000,1632756089982,1632756090993,-1,-1,-1,-1,-1,-1,SAVA.NASDAQ,STOCK,68.110000,68.240000,700.000000,500.000000,1632756094489,1632756095513
7515,94bb2e55-1fa6-11ec-973b-31501437f5a6,SAVA.CBOE.18G2022.C50,50.000000,CALL,27.800000,31.000000,597.000000,253.000000,1632756084981,1632756085998,-1,-1,-1,-1,-1,-1,SAVA.NASDAQ,STOCK,68.110000,68.210000,800.000000,300.000000,1632756084580,1632756085591
7505,88cf1ee0-1fa6-11ec-973b-31501437f5a6,SAVA.CBOE.18G2022.P145,145.000000,PUT,85.300000,88.500000,22.000000,90.000000,1632756063981,1632756064992,-1,-1,-1,-1,-1,-1,SAVA.NASDAQ,STOCK,68.280000,68.340000,400.000000,400.000000,1632756064590,1632756065601
7497,82d6ccba-1fa6-11ec-973b-31501437f5a6,SAVA.CBOE.18G2022.P185,185.000000,PUT,122.200000,125.900000,22.000000,81.000000,1632756046983,1632756048056,-1,-1,-1,-1,-1,-1,SAVA.NASDAQ,STOCK,68.340000,68.430000,100.000000,100.000000,1632756052598,1632756053621
7513,88cf1edd-1fa6-11ec-973b-31501437f5a6,SAVA.CBOE.18G2022.P70,70.000000,PUT,23.800000,26.500000,71.000000,89.000000,1632756058981,1632756059994,-1,-1,-1,-1,-1,-1,SAVA.NASDAQ,STOCK,68.280000,68.340000,400.000000,400.000000,1632756064590,1632756065601
7500,9aacf0c8-1fa6-11ec-973b-31501437f5a6,SAVA.CBOE.18G2022.P210,210.000000,PUT,146.400000,149.600000,16.000000,84.000000,1632756087596,1632756088607,-1,-1,-1,-1,-1,-1,SAVA.NASDAQ,STOCK,68.110000,68.240000,700.000000,500.000000,1632756094489,1632756095513
7523,94bb2e5d-1fa6-11ec-973b-31501437f5a6,SAVA.CBOE.18G2022.P105,105.000000,PUT,50.700000,53.700000,4.000000,76.000000,1632756082482,1632756083494,-1,-1,-1,-1,-1,-1,SAVA.NASDAQ,STOCK,68.110000,68.210000,800.000000,300.000000,1632756084580,1632756085591
7516,88cf1eda-1fa6-11ec-973b-31501437f5a6,SAVA.CBOE.18G2022.C110,110.000000,CALL,10.800000,13.400000,98.000000,347.000000,1632756055980,1632756056992,-1,-1,-1,-1,-1,-1,SAVA.NASDAQ,STOCK,68.280000,68.340000,400.000000,400.000000,1632756064590,1632756065601
7506,9aacf0d2-1fa6-11ec-973b-31501437f5a6,SAVA.CBOE.18G2022.C60,60.000000,CALL,23.500000,26.400000,691.000000,310.000000,1632756087982,1632756088993,-1,-1,-1,-1,-1,-1,SAVA.NASDAQ,STOCK,68.110000,68.240000,700.000000,500.000000,1632756094489,1632756095513
7503,9aacf0cd-1fa6-11ec-973b-31501437f5a6,SAVA.CBOE.18G2022.C155,155.000000,CALL,6.500000,7.600000,26.000000,91.000000,1632756089982,1632756090993,-1,-1,-1,-1,-1,-1,SAVA.NASDAQ,STOCK,68.110000,68.240000,700.000000,500.000000,1632756094489,1632756095513
7518,9aacf0cc-1fa6-11ec-973b-31501437f5a6,SAVA.CBOE.18G2022.C55,55.000000,CALL,25.600000,28.000000,71.000000,59.000000,1632756090482,1632756091494,-1,-1,-1,-1,-1,-1,SAVA.NASDAQ,STOCK,68.110000,68.240000,700.000000,500.000000,1632756094489,1632756095513
7508,9aacf0c9-1fa6-11ec-973b-31501437f5a6,SAVA.CBOE.18G2022.C95,95.000000,CALL,13.900000,16.700000,92.000000,791.000000,1632756089983,1632756091056,-1,-1,-1,-1,-1,-1,SAVA.NASDAQ,STOCK,68.110000,68.240000,700.000000,500.000000,1632756094489,1632756095513
7498,88cf1ee1-1fa6-11ec-973b-31501437f5a6,SAVA.CBOE.18G2022.C65,65.000000,CALL,22.100000,24.000000,64.000000,58.000000,1632756062481,1632756063492,-1,-1,-1,-1,-1,-1,SAVA.NASDAQ,STOCK,68.280000,68.340000,400.000000,400.000000,1632756064590,1632756065601
7507,76ed7b4c-1fa6-11ec-973b-31501437f5a6,SAVA.CBOE.18G2022.P135,135.000000,PUT,76.600000,79.500000,6.000000,72.000000,1632756028981,1632756029992,-1,-1,-1,-1,-1,-1,SAVA.NASDAQ,STOCK,68.250000,68.390000,200.000000,200.000000,1632756032569,1632756033580
7527,9aacf0de-1fa6-11ec-973b-31501437f5a6,SAVA.CBOE.18G2022.P150,150.000000,PUT,89.700000,93.000000,20.000000,43.000000,1632756088981,1632756089992,-1,-1,-1,-1,-1,-1,SAVA.NASDAQ,STOCK,68.110000,68.240000,700.000000,500.000000,1632756094489,1632756095513
7512,9aacf0d1-1fa6-11ec-973b-31501437f5a6,SAVA.CBOE.18G2022.P100,100.000000,PUT,47.200000,49.700000,4.000000,101.000000,1632756087982,1632756088994,-1,-1,-1,-1,-1,-1,SAVA.NASDAQ,STOCK,68.110000,68.240000,700.000000,500.000000,1632756094489,1632756095513
7502,94bb2e57-1fa6-11ec-973b-31501437f5a6,SAVA.CBOE.18G2022.C115,115.000000,CALL,10.000000,11.700000,70.000000,21.000000,1632756084981,1632756085998,-1,-1,-1,-1,-1,-1,SAVA.NASDAQ,STOCK,68.110000,68.210000,800.000000,300.000000,1632756084580,1632756085591
7521,9aacf0d4-1fa6-11ec-973b-31501437f5a6,SAVA.CBOE.18G2022.C165,165.000000,CALL,5.600000,6.600000,60.000000,49.000000,1632756091981,1632756092992,-1,-1,-1,-1,-1,-1,SAVA.NASDAQ,STOCK,68.110000,68.240000,700.000000,500.000000,1632756094489,1632756095513
7522,9aacf0d5-1fa6-11ec-973b-31501437f5a6,SAVA.CBOE.18G2022.C120,120.000000,CALL,9.300000,11.400000,744.000000,205.000000,1632756094981,1632756095992,-1,-1,-1,-1,-1,-1,SAVA.NASDAQ,STOCK,68.110000,68.240000,700.000000,500.000000,1632756094489,1632756095513
7520,9aacf0e1-1fa6-11ec-973b-31501437f5a6,SAVA.CBOE.18G2022.C185,185.000000,CALL,4.500000,5.400000,61.000000,43.000000,1632756091981,1632756092992,-1,-1,-1,-1,-1,-1,SAVA.NASDAQ,STOCK,68.110000,68.240000,700.000000,500.000000,1632756094489,1632756095513
7524,8ec945ce-1fa6-11ec-973b-31501437f5a6,SAVA.CBOE.18G2022.C170,170.000000,CALL,5.400000,6.300000,12.000000,58.000000,1632756068482,1632756069556,-1,-1,-1,-1,-1,-1,SAVA.NASDAQ,STOCK,68.100000,68.220000,300.000000,600.000000,1632756074579,1632756075591
7509,9aacf0ce-1fa6-11ec-973b-31501437f5a6,SAVA.CBOE.18G2022.P30,30.000000,PUT,3.600000,5.600000,276.000000,60.000000,1632756088481,1632756089492,-1,-1,-1,-1,-1,-1,SAVA.NASDAQ,STOCK,68.110000,68.240000,700.000000,500.000000,1632756094489,1632756095513
7526,9aacf0db-1fa6-11ec-973b-31501437f5a6,SAVA.CBOE.18G2022.P155,155.000000,PUT,94.300000,97.700000,25.000000,88.000000,1632756088481,1632756089492,-1,-1,-1,-1,-1,-1,SAVA.NASDAQ,STOCK,68.110000,68.240000,700.000000,500.000000,1632756094489,1632756095513
7556,94bb2e64-1fa6-11ec-973b-31501437f5a6,SAVA.CBOE.18G2022.P115,115.000000,PUT,58.600000,61.900000,24.000000,101.000000,1632756082482,1632756083494,-1,-1,-1,-1,-1,-1,SAVA.NASDAQ,STOCK,68.110000,68.210000,800.000000,300.000000,1632756084580,1632756085591
7558,9aacf0dd-1fa6-11ec-973b-31501437f5a6,SAVA.CBOE.18G2022.C75,75.000000,CALL,17.900000,20.700000,108.000000,203.000000,1632756088481,1632756089492,-1,-1,-1,-1,-1,-1,SAVA.NASDAQ,STOCK,68.110000,68.240000,700.000000,500.000000,1632756094489,1632756095513
7539,9aacf0ee-1fa6-11ec-973b-31501437f5a6,SAVA.CBOE.18G2022.P65,65.000000,PUT,20.700000,23.500000,71.000000,73.000000,1632756086982,1632756087994,-1,-1,-1,-1,-1,-1,SAVA.NASDAQ,STOCK,68.110000,68.240000,700.000000,500.000000,1632756094489,1632756095513
7553,8ec945db-1fa6-11ec-973b-31501437f5a6,SAVA.CBOE.18G2022.C140,140.000000,CALL,7.400000,9.600000,63.000000,92.000000,1632756068481,1632756069492,-1,-1,-1,-1,-1,-1,SAVA.NASDAQ,STOCK,68.100000,68.220000,300.000000,600.000000,1632756074579,1632756075591
7552,9aacf0e2-1fa6-11ec-973b-31501437f5a6,SAVA.CBOE.18G2022.P55,55.000000,PUT,13.700000,17.600000,830.000000,81.000000,1632756089982,1632756090993,-1,-1,-1,-1,-1,-1,SAVA.NASDAQ,STOCK,68.110000,68.240000,700.000000,500.000000,1632756094489,1632756095513
7547,9aacf0e4-1fa6-11ec-973b-31501437f5a6,SAVA.CBOE.18G2022.P90,90.000000,PUT,37.600000,41.400000,17.000000,107.000000,1632756088981,1632756089992,-1,-1,-1,-1,-1,-1,SAVA.NASDAQ,STOCK,68.110000,68.240000,700.000000,500.000000,1632756094489,1632756095513
7534,9aacf0f1-1fa6-11ec-973b-31501437f5a6,SAVA.CBOE.18G2022.P160,160.000000,PUT,99.400000,102.100000,11.000000,77.000000,1632756085980,1632756086992,-1,-1,-1,-1,-1,-1,SAVA.NASDAQ,STOCK,68.110000,68.240000,700.000000,500.000000,1632756094489,1632756095513
7551,9aacf0e3-1fa6-11ec-973b-31501437f5a6,SAVA.CBOE.18G2022.P190,190.000000,PUT,127.100000,130.600000,23.000000,72.000000,1632756087597,1632756088608,-1,-1,-1,-1,-1,-1,SAVA.NASDAQ,STOCK,68.110000,68.240000,700.000000,500.000000,1632756094489,1632756095513
7554,9aacf0e0-1fa6-11ec-973b-31501437f5a6,SAVA.CBOE.18G2022.P95,95.000000,PUT,41.600000,45.800000,24.000000,364.000000,1632756087982,1632756088993,-1,-1,-1,-1,-1,-1,SAVA.NASDAQ,STOCK,68.110000,68.240000,700.000000,500.000000,1632756094489,1632756095513
7532,9aacf0ec-1fa6-11ec-973b-31501437f5a6,SAVA.CBOE.18G2022.C80,80.000000,CALL,17.200000,19.400000,107.000000,105.000000,1632756089982,1632756090993,-1,-1,-1,-1,-1,-1,SAVA.NASDAQ,STOCK,68.110000,68.240000,700.000000,500.000000,1632756094489,1632756095513
7536,9aacf0e7-1fa6-11ec-973b-31501437f5a6,SAVA.CBOE.18G2022.C85,85.000000,CALL,15.100000,17.500000,88.000000,12.000000,1632756087982,1632756088993,-1,-1,-1,-1,-1,-1,SAVA.NASDAQ,STOCK,68.110000,68.240000,700.000000,500.000000,1632756094489,1632756095513
7535,9aacf0f0-1fa6-11ec-973b-31501437f5a6,SAVA.CBOE.18G2022.C45,45.000000,CALL,29.900000,33.200000,71.000000,51.000000,1632756088980,1632756089992,-1,-1,-1,-1,-1,-1,SAVA.NASDAQ,STOCK,68.110000,68.240000,700.000000,500.000000,1632756094489,1632756095513
